Gender,Race,Age,City,State,Weapon,Relationship,Solved,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster
Male,White,36,New York,New York,Handgun,Acquaintance,Yes,1,2,1
Male,Black,25,Winnebago,Illinois,Handgun,Acquaintance,Yes,1,3,-1
Female,White,55,Sedgwick,Kansas,Knife,,Yes,0,0,-1
Male,Black,49,New York,New York,Handgun,,Yes,0,2,7
Male,White,24,Chesterfield,Virginia,Drugs,,Yes,1,1,-1
Male,White,19,Ventura,California,Handgun,,No,1,1,-1
Male,White,59,Hillsborough,Florida,Knife,Acquaintance,Yes,0,2,-1
Male,Black,29,New York,New York,Handgun,,No,1,2,7
Male,Black,23,Wayne,Michigan,Handgun,Acquaintance,Yes,1,3,17
Male,White,44,Hidalgo,Texas,Handgun,,Yes,0,2,-1
Male,White,68,New York,New York,Knife,,Yes,0,2,5
Male,White,93,Marion,Indiana,Blunt Object,,No,0,2,-1
Male,,99,Bexar,Texas,Fire,,No,0,2,-1
Male,Black,35,Cook,Illinois,Handgun,Stranger,Yes,1,3,24
Male,Black,49,Clark,Nevada,Knife,,No,0,2,-1
Female,Black,24,Harris,Texas,Strangulation,Stranger,Yes,1,2,-1
Male,Black,28,Cuyahoga,Ohio,Handgun,Acquaintance,Yes,1,2,25
Male,Black,34,De Kalb,Georgia,Handgun,,No,1,2,26
Male,Black,38,Los Angeles,California,Handgun,,No,1,3,27
Male,White,14,Multnomah,Oregon,Rifle,Friend,Yes,1,2,-1
Female,White,22,Harris,Texas,Shotgun,Friend,Yes,1,2,-1
Male,White,44,Lane,Oregon,Blunt Object,,Yes,0,2,-1
Male,Black,25,New York,New York,Handgun,,No,1,2,7
Female,White,16,Ada,Idaho,Shotgun,Daughter,Yes,1,0,-1
Male,Black,25,Baltimore,Maryland,Handgun,Stranger,Yes,1,2,-1
Male,White,21,Fresno,California,Knife,Stranger,Yes,1,2,-1
Male,Black,16,Cook,Illinois,Handgun,,No,1,3,28
Male,Black,26,Cook,Illinois,Handgun,,No,1,3,28
Male,Black,21,Caddo,Louisiana,Firearm,Stranger,Yes,1,2,-1
Female,White,20,Hillsborough,Florida,Knife,,Yes,1,2,-1
Male,Black,30,Orleans,Louisiana,Handgun,,No,1,2,22
Male,White,59,Palm Beach,Florida,Knife,,No,0,2,-1
Male,Black,28,Marion,Indiana,Handgun,Acquaintance,Yes,1,2,13
Male,White,20,Los Angeles,California,Rifle,,Yes,1,2,-1
Male,White,73,Fairfield,Connecticut,Handgun,,No,0,2,-1
Male,White,50,Maricopa,Arizona,Blunt Object,Acquaintance,Yes,0,2,-1
Female,Black,23,Prince George's,Maryland,Handgun,,No,1,2,-1
Male,Black,29,Wayne,Michigan,Handgun,,No,1,3,17
Male,Black,28,Columbus,North Carolina,Shotgun,,No,1,3,-1
Female,Black,34,Philadelphia,Pennsylvania,Knife,Acquaintance,Yes,1,2,-1
Male,Black,25,Wayne,Michigan,Shotgun,Son,Yes,1,3,-1
Male,White,32,Whitfield,Georgia,Handgun,Acquaintance,Yes,1,1,-1
Female,White,32,Hartford,Connecticut,Drugs,Acquaintance,Yes,1,0,-1
Female,Black,44,Franklin,Ohio,,Girlfriend,Yes,0,2,-1
Female,White,47,Miami,Ohio,Handgun,Wife,Yes,0,0,-1
Male,White,21,Chippewa,Michigan,,,No,1,1,-1
Female,White,71,Bibb,Georgia,Shotgun,Wife,Yes,0,2,-1
Female,White,30,Riverside,California,Handgun,Wife,Yes,1,2,-1
Male,White,19,Dallas,Texas,Rifle,In-Law,Yes,1,2,-1
Male,White,23,Ford,Kansas,Handgun,Stranger,Yes,1,1,-1
Male,Black,34,New Haven,Connecticut,Handgun,Stranger,Yes,1,2,-1
Male,Black,27,Pulaski,Arkansas,Firearm,Acquaintance,Yes,1,2,-1
Female,,99,Contra Costa,California,Fire,,No,0,2,-1
Male,Black,36,Yuba,California,Blunt Object,Acquaintance,Yes,1,3,-1
Female,Black,6,Hinds,Mississippi,Handgun,Daughter,Yes,1,2,-1
Female,Black,57,Fairfield,South Carolina,Handgun,Acquaintance,Yes,0,4,-1
Male,White,26,District of Columbia,District of Columbia,Handgun,,No,1,2,-1
Male,Black,35,Hinds,Mississippi,Handgun,Acquaintance,Yes,1,3,29
Female,Black,27,Suffolk,New York,Handgun,,No,1,0,-1
